核警单编号	,报警原因	,处警结果	,事件编号	,用户级别	,口令	,用户编号	,单位负责人	,负责人手机	,用户名称	,用户地址	,事件类型	,事件描述	,报警时间	,报警位置	,接警时间	,接警员	,备注
2018073109560488031528527199	,111用户试机	,	,2018073109430600010000880553	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:06	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560416809114628143	,111用户试机	,	,2018073109425600010000880515	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:56	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560453493864856160	,111用户试机	,	,2018073109430200010000880583	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:02	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560568946764239179	,111用户试机	,	,2018073109430800010000880556	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:08	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560615528091138483	,111用户试机	,	,2018073109442000010000880536	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560955012578939841	,111用户试机	,	,2018073109444100010000880583	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:41	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561064537786433890	,111用户试机	,	,2018073109445200010000880515	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:52	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561136796898871147	,111用户试机	,	,2018073109450400010000880516	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:04	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561215296986406832	,111用户试机	,	,2018073109450600010000880582	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:06	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561234434845242386	,111用户试机	,	,2018072415335600010000880511	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-24 15:33:56	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561235189837521309	,111用户试机	,	,2018073109425800010000880531	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:58	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561316054511126885	,111用户试机	,	,2018073109441700010000880584	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:17	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561495486364091433	,111用户试机	,	,2018073109431800010000880568	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:18	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561510648248336758	,111用户试机	,	,2018073109442500010000880585	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:25	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561679694124144786	,111用户试机	,	,2018073109443000010000880584	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:30	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561783533695271210	,111用户试机	,	,2018073109444600010000880543	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:46	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109561766187166286189	,111用户试机	,	,2018073109444400010000880588	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:44	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109562086950249826427	,111用户试机	,	,2018073109452100010000880536	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:21	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109562360260183104342	,111用户试机	,	,2018073109431500010000880563	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:15	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109562587578276220550	,111用户试机	,	,2018073109444600010000880565	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:46	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109562872520757677869	,111用户试机	,	,2018073109451600010000880539	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:16	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563016840119648215	,111用户试机	,	,2018073109431000010000880523	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:10	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563078459527702816	,111用户试机	,	,2018073109425900010000880557	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:59	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563134851761213564	,111用户试机	,	,2018073109441200010000880561	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:12	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563216540067389947	,111用户试机	,	,2018073109443800010000880586	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:38	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563231003093556265	,111用户试机	,	,2018073109444100010000880551	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:41	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563314526726662784	,111用户试机	,	,2018073109445300010000880568	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:53	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563438781484327021	,111用户试机	,	,2018073109450700010000880543	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:07	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563660956697681104	,111用户试机	,	,2018073109451700010000880573	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:17	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109563620521571719836	,111用户试机	,	,2018073109451800010000880514	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:18	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109564344450259757034	,111用户试机	,	,2018073109450200010000880579	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:02	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109564366357253986713	,111用户试机	,	,2018073109450100010000880592	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:01	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109564441335039889406	,111用户试机	,	,2018073109450400010000880584	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:04	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109564494036866255139	,111用户试机	,	,2018073109452000010000880577	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551182752902515979	,111用户试机	,	,2018073109431400010000880587	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551114692385422311	,111用户试机	,	,2018073109441200010000880573	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:12	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551294769109060920	,111用户试机	,	,2018073109432300010000880527	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:23	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551929050979380232	,111用户试机	,	,2018073109450500010000880525	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:05	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552285204676824310	,111用户试机	,	,2018073109451600010000880544	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:16	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552389251362892730	,111用户试机	,	,2018073109452400010000880540	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:24	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552599288617649766	,111用户试机	,	,2018073109425400010000880550	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:54	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552588304135253087	,111用户试机	,	,2018073109431200010000880593	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:12	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553124431178683776	,111用户试机	,	,2018073109441500010000880564	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:15	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553210431855124580	,111用户试机	,	,2018073109442700010000880589	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:27	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553317633029214175	,111用户试机	,	,2018073109443700010000880592	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:37	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553437713662760473	,111用户试机	,	,2018073109445900010000880534	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:59	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553532510378861736	,111用户试机	,	,2018073109445200010000880582	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:52	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553645779594810606	,111用户试机	,	,2018073109450600010000880520	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:06	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553737087703166657	,111用户试机	,	,2018073109451600010000880598	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:16	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553861681644436030	,111用户试机	,	,2018073109425900010000880583	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:59	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553843879455739277	,111用户试机	,	,2018073109430600010000880557	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:06	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554087134794351771	,111用户试机	,	,2018073109430900010000880534	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:09	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554251234807721933	,111用户试机	,	,2018073109441600010000880520	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:16	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554352732007725948	,111用户试机	,	,2018073109442800010000880595	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:28	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554359225461553800	,111用户试机	,	,2018073109444600010000880526	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:46	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554371278955980463	,111用户试机	,	,2018073109444400010000880545	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:44	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554454106319972078	,111用户试机	,	,2018073109444400010000880569	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:44	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554513673744951404	,111用户试机	,	,2018073109450000010000880579	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:00	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554876105678419433	,111用户试机	,	,2018073109425000010000880577	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:50	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554840913542702210	,111用户试机	,	,2018073109430100010000880520	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:01	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554981798971863930	,111用户试机	,	,2018073109441500010000880520	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:15	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555214204784531117	,111用户试机	,	,2018073109443500010000880570	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:35	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555214942441163684	,111用户试机	,	,2018073109444200010000880559	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:42	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555218076993838024	,111用户试机	,	,2018073109445500010000880533	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:55	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555310872765975898	,111用户试机	,	,2018073109445500010000880569	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:55	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555498617938072502	,111用户试机	,	,2018073109451700010000880549	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:17	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555481394317271608	,111用户试机	,	,2018073109451400010000880564	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
